ShortName,Field Goal,Other,Pass,Punt,Run,Timeout,Touchdown,Turnover
49ers,41,325,612,89,661,108,60,23
Bengals,56,367,726,93,589,91,68,12
Bills,38,298,770,65,551,77,77,13
Buccaneers,39,302,873,87,453,72,75,17
Chiefs,41,349,842,61,551,89,78,17
Colts,45,277,585,70,565,80,55,17
Cowboys,43,339,788,88,572,64,66,13
Patriots,49,287,615,62,564,70,64,10
Rams,51,319,781,79,596,94,69,11
Titans,39,323,584,77,660,78,57,16
