ShortName,Field Goal,Other,Pass,Punt,Run,Timeout,Touchdown,Turnover
Browns,31,334,728,100,439,62,38,20
Cowboys,56,311,704,68,509,66,38,18
Falcons,48,289,608,62,553,66,44,12
Giants,31,301,648,93,473,42,39,18
Jaguars,36,263,588,77,501,58,40,18
Panthers,30,316,586,89,454,61,47,15
Patriots,39,307,597,88,502,57,36,20
Raiders,46,299,710,82,426,58,38,17
Saints,37,293,610,91,508,72,44,7
Titans,36,332,571,81,534,69,46,19
