ShortName,Field Goal,Other,Pass,Punt,Run,Timeout,Touchdown,Turnover
Bills,43,288,656,51,443,66,62,12
Buccaneers,40,289,693,67,468,79,74,6
Chiefs,35,273,693,56,449,71,60,11
Colts,39,235,559,51,462,57,50,9
Packers,20,253,548,50,474,65,74,9
Rams,34,230,602,78,508,74,47,13
Ravens,35,242,425,58,589,67,57,10
Saints,31,252,551,64,515,71,63,17
Seahawks,26,279,532,69,419,70,59,9
Steelers,25,234,667,79,369,58,54,9
