ShortName,Field Goal,Other,Pass,Punt,Run,Timeout,Touchdown,Turnover
Cardinals,39,309,629,77,534,70,43,13
Commanders,28,332,689,84,413,67,52,17
Falcons,39,277,586,89,566,68,34,17
Giants,36,319,576,106,509,57,36,18
Jets,48,304,685,112,463,61,28,28
Panthers,33,303,653,95,494,46,29,24
Patriots,26,265,584,114,460,55,36,16
Rams,50,308,662,81,534,89,54,8
Titans,37,332,536,88,525,65,40,10
Vikings,37,304,665,74,452,73,42,22
