ShortName,Field Goal,Other,Pass,Punt,Run,Timeout,Touchdown,Turnover
49ers,51,337,592,74,693,109,74,15
Bills,40,292,643,99,583,83,48,18
Chiefs,45,360,774,74,503,69,76,18
Cowboys,48,279,717,75,514,58,54,15
Packers,26,341,698,106,529,89,62,16
Patriots,44,258,735,98,576,68,59,14
Ravens,44,300,566,56,723,55,68,10
Saints,50,295,694,80,513,67,59,10
Titans,24,368,589,116,618,58,67,17
Vikings,39,313,599,88,624,90,62,18
