Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Ravens,644,345,86.0,299.0,18,3
Patriots,525,299,71.0,226.0,15,6
49ers,655,439,78.0,216.0,18,5
Chiefs,650,471,70.0,179.0,16,7
Cowboys,506,365,50.0,141.0,10,10
Saints,563,447,71.0,116.0,15,6
Vikings,545,430,64.0,115.0,14,8
Titans,543,456,56.99999999999999,87.0,13,10
Bills,435,354,67.0,81.0,14,7
Packers,513,467,73.0,46.0,16,6
Rams,439,408,55.00000000000001,31.0,11,9
Seahawks,526,504,68.0,22.0,15,7
Buccaneers,532,520,50.0,12.0,10,10
Steelers,373,369,55.00000000000001,4.0,11,9
Eagles,443,440,48.0,3.0,10,11
Chargers,409,428,30.0,-19.0,6,14
Colts,425,451,40.0,-26.0,8,12
Browns,418,450,45.0,-32.0,9,11
Falcons,466,500,38.0,-34.0,8,13
Broncos,351,389,43.0,-38.0,9,12
Bears,348,389,45.0,-41.0,9,11
Texans,497,562,55.00000000000001,-65.0,12,10
Giants,460,538,40.0,-78.0,8,12
Raiders,397,486,50.0,-89.0,10,10
Jets,339,428,45.0,-89.0,9,11
Cardinals,420,528,32.0,-108.0,6,13
Lions,403,528,16.0,-125.0,3,16
Panthers,405,539,35.0,-134.0,7,13
Bengals,348,509,15.0,-161.0,3,17
Dolphins,392,557,40.0,-165.0,8,12
Jaguars,329,503,30.0,-174.0,6,14
Redskins,315,515,20.0,-200.0,4,16
