Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Eagles,641,432,83.0,209.0,20,4
Lions,646,441,81.0,205.0,17,4
Bills,653,499,70.0,154.0,16,7
Broncos,531,386,62.0,145.0,13,8
Ravens,604,460,64.0,144.0,14,8
Vikings,518,397,81.0,121.0,17,4
Packers,525,404,62.0,121.0,13,8
Buccaneers,570,456,56.99999999999999,114.0,12,9
Commanders,619,540,65.0,79.0,15,8
Chargers,452,381,56.99999999999999,71.0,12,9
Texans,500,465,61.0,35.0,14,9
Chiefs,519,493,74.0,26.0,17,6
Seahawks,443,420,60.0,23.0,12,8
Bears,425,417,43.0,8.0,9,12
Steelers,426,428,48.0,-2.0,10,11
Bengals,503,505,45.0,-2.0,9,11
Rams,457,461,59.0,-4.0,13,9
Dolphins,392,407,50.0,-15.0,10,10
Cardinals,439,454,40.0,-15.0,8,12
Colts,455,488,50.0,-33.0,10,10
49ers,442,487,37.0,-45.0,7,12
Jets,383,439,40.0,-56.0,8,12
Jaguars,397,455,35.0,-58.0,7,13
Saints,391,458,30.0,-67.0,6,14
Falcons,414,487,40.0,-73.0,8,12
Cowboys,408,519,40.0,-111.0,8,12
Patriots,329,454,25.0,-125.0,5,15
Raiders,368,509,21.0,-141.0,4,15
Titans,374,515,30.0,-141.0,6,14
Giants,303,456,20.0,-153.0,4,16
Panthers,387,592,30.0,-205.0,6,14
Browns,313,522,15.0,-209.0,3,17
