Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Ravens,595,381,68.0,214.0,15,7
Cowboys,609,429,62.0,180.0,13,8
49ers,611,452,65.0,159.0,15,8
Bills,568,422,64.0,146.0,14,8
Chiefs,561,425,71.0,136.0,17,7
Dolphins,552,470,56.99999999999999,82.0,12,9
Saints,463,385,55.00000000000001,78.0,11,9
Lions,601,533,70.0,68.0,16,7
Packers,524,461,55.00000000000001,63.0,12,10
Jaguars,461,419,60.0,42.0,12,8
Buccaneers,459,418,55.00000000000001,41.0,12,10
Raiders,416,386,50.0,30.0,10,10
Texans,472,451,59.0,21.0,13,9
Steelers,399,387,62.0,12.0,13,8
Browns,496,491,56.99999999999999,5.0,12,9
Colts,466,468,55.00000000000001,-2.0,11,9
Broncos,435,452,45.0,-17.0,9,11
Seahawks,425,448,55.00000000000001,-23.0,11,9
Bears,421,444,40.0,-23.0,8,12
Chargers,420,449,35.0,-29.0,7,13
Eagles,492,525,55.00000000000001,-33.0,11,9
Bengals,417,454,47.0,-37.0,9,10
Vikings,390,428,35.0,-38.0,7,13
Titans,369,413,40.0,-44.0,8,12
Rams,461,510,48.0,-49.0,10,11
Falcons,353,413,42.0,-60.0,8,11
Jets,349,413,43.0,-64.0,9,12
Cardinals,376,527,30.0,-151.0,6,14
Giants,327,479,35.0,-152.0,7,13
Patriots,273,426,25.0,-153.0,5,15
Commanders,396,580,35.0,-184.0,7,13
Panthers,272,490,10.0,-218.0,2,18
