Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Buccaneers,615,433,75.0,182.0,15,5
Ravens,491,333,67.0,158.0,12,6
Packers,567,418,78.0,149.0,14,4
Saints,523,376,72.0,147.0,13,5
Bills,569,440,79.0,129.0,15,4
Chiefs,542,434,84.0,108.0,16,3
Steelers,453,360,71.0,93.0,12,5
Colts,475,389,65.0,86.0,11,6
Seahawks,479,401,71.0,78.0,12,5
Rams,420,348,61.0,72.0,11,7
Dolphins,404,338,62.0,66.0,10,6
Titans,504,459,65.0,45.0,11,6
Cardinals,410,367,50.0,43.0,8,8
Redskins,0,0,0.0,0.0,0,0
Browns,473,478,67.0,-5.0,12,6
Bears,381,391,47.0,-10.0,8,9
49ers,376,390,38.0,-14.0,6,10
Falcons,396,414,25.0,-18.0,4,12
Patriots,326,353,44.0,-27.0,7,9
Chargers,384,426,44.0,-42.0,7,9
Raiders,434,478,50.0,-44.0,8,8
Vikings,430,475,44.0,-45.0,7,9
Panthers,350,402,31.0,-52.0,5,11
Giants,280,357,38.0,-77.0,6,10
Cowboys,395,473,38.0,-78.0,6,10
Texans,384,464,25.0,-80.0,4,12
Eagles,334,418,27.0,-84.0,4,11
Bengals,311,424,27.0,-113.0,4,11
Broncos,323,446,31.0,-123.0,5,11
Lions,377,519,31.0,-142.0,5,11
Jaguars,306,492,6.0,-186.0,1,15
Jets,243,457,12.0,-214.0,2,14
