Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
49ers,562,388,74.0,174.0,17,6
Bills,568,404,76.0,164.0,16,5
Chiefs,639,487,83.0,152.0,19,4
Eagles,633,488,74.0,145.0,17,6
Cowboys,576,436,68.0,140.0,15,7
Bengals,550,440,68.0,110.0,15,7
Ravens,431,381,62.0,50.0,13,8
Dolphins,515,482,52.0,33.0,11,10
Raiders,486,468,48.0,18.0,10,11
Lions,512,499,50.0,13.0,10,10
Patriots,411,403,45.0,8.0,9,11
Jaguars,506,502,43.0,4.0,10,13
Jets,375,380,50.0,-5.0,10,10
Packers,421,426,45.0,-5.0,9,11
Falcons,436,445,45.0,-9.0,9,11
Browns,425,436,40.0,-11.0,8,12
Saints,380,392,40.0,-12.0,8,12
Panthers,401,415,45.0,-14.0,9,11
Steelers,375,395,60.0,-20.0,12,8
Giants,478,507,56.99999999999999,-29.0,12,9
Chargers,471,503,48.0,-32.0,10,11
Commanders,371,407,42.0,-36.0,8,11
Seahawks,492,528,43.0,-36.0,9,12
Vikings,488,524,62.0,-36.0,13,8
Titans,347,408,45.0,-61.0,9,11
Broncos,342,421,35.0,-79.0,7,13
Rams,363,446,30.0,-83.0,6,14
Buccaneers,364,455,38.0,-91.0,8,13
Texans,347,453,32.0,-106.0,6,13
Cardinals,416,522,25.0,-106.0,5,15
Bears,393,508,30.0,-115.0,6,14
Colts,366,491,26.0,-125.0,5,14
