Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Saints,650,440,77.0,210.0,17,5
Chiefs,718,550,68.0,168.0,15,7
Patriots,621,461,74.0,160.0,17,6
Ravens,533,382,68.0,151.0,15,7
Bears,557,417,64.0,140.0,14,8
Rams,633,538,74.0,95.0,17,6
Colts,555,462,64.0,93.0,14,8
Steelers,548,455,63.0,93.0,12,7
Texans,476,387,67.0,89.0,14,7
Chargers,550,482,68.0,68.0,15,7
Seahawks,520,465,48.0,55.0,10,11
Vikings,446,406,57.99999999999999,40.0,11,8
Panthers,480,478,50.0,2.0,10,10
Browns,436,438,53.0,-2.0,10,9
Broncos,430,442,40.0,-12.0,8,12
Packers,485,497,42.0,-12.0,8,11
Eagles,441,465,50.0,-24.0,11,11
Cowboys,428,462,50.0,-34.0,11,11
Giants,443,482,35.0,-39.0,7,13
Titans,350,393,45.0,-43.0,9,11
Jaguars,321,366,40.0,-45.0,8,12
Bengals,471,535,45.0,-64.0,9,11
Buccaneers,492,560,35.0,-68.0,7,13
Lions,401,471,35.0,-70.0,7,13
Falcons,441,519,35.0,-78.0,7,13
Jets,388,488,25.0,-100.0,5,15
49ers,417,518,25.0,-101.0,5,15
Redskins,350,457,40.0,-107.0,8,12
Dolphins,407,520,40.0,-113.0,8,12
Bills,352,472,40.0,-120.0,8,12
Raiders,364,521,35.0,-157.0,7,13
Cardinals,306,481,30.0,-175.0,6,14
