Team,Points,PointsAgainst,Win%,PointDifferential,Wins,Losses
Bills,642,378,68.0,264.0,15,7
Patriots,558,383,62.0,175.0,13,8
Chiefs,652,499,74.0,153.0,17,6
Buccaneers,609,467,68.0,142.0,15,7
Cowboys,594,470,55.00000000000001,124.0,12,10
Titans,516,406,67.0,110.0,14,7
Rams,601,494,67.0,107.0,16,8
Colts,511,410,60.0,101.0,12,8
49ers,545,451,61.0,94.0,14,9
Bengals,610,518,57.99999999999999,92.0,14,10
Broncos,415,343,50.0,72.0,10,10
Cardinals,489,433,60.0,56.0,12,8
Ravens,461,412,55.00000000000001,49.0,11,9
Packers,481,452,62.0,29.0,13,8
Saints,401,373,53.0,28.0,10,9
Seahawks,432,416,40.0,16.0,8,12
Browns,408,407,55.00000000000001,1.0,11,9
Eagles,506,506,45.0,0.0,9,11
Redskins,0,0,0.0,0.0,0,0
Chargers,497,507,50.0,-10.0,10,10
Dolphins,420,436,55.00000000000001,-16.0,11,9
Vikings,466,499,40.0,-33.0,8,12
Steelers,439,513,56.99999999999999,-74.0,12,9
Raiders,440,522,56.99999999999999,-82.0,12,9
Panthers,359,454,30.0,-95.0,6,14
Bears,373,485,40.0,-112.0,8,12
Texans,342,496,30.0,-154.0,6,14
Lions,377,536,16.0,-159.0,3,16
Giants,298,467,20.0,-169.0,4,16
Jets,376,556,32.0,-180.0,6,13
Falcons,343,538,35.0,-195.0,7,13
Jaguars,321,517,20.0,-196.0,4,16
